Date,Products,ISIN,Place,Exec Place,Qty,Buying_value,Actual_value,Total_Actual_value_for_day,Total_Buying_value_for_day,Product_pct_in_portfolio_for_day,Value_diff,Percentage_diff
2024-12-20,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1825.5999755859375,1825.5999755859375,1839.000061,100.0,-13.40008541406246,-0.7286614991614435
2024-12-21,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1825.5999755859375,1825.5999755859375,1839.000061,100.0,-13.40008541406246,-0.7286614991614435
2024-12-22,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1825.5999755859375,1825.5999755859375,1839.000061,100.0,-13.40008541406246,-0.7286614991614435
2024-12-23,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1835.5999755859375,1835.5999755859375,1839.000061,100.0,-3.4000854140624597,-0.18488772709521187
2024-12-24,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1835.0,1835.0,1839.000061,100.0,-4.00006099999996,-0.21751282584650003
2024-12-25,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1835.0,1835.0,1839.000061,100.0,-4.00006099999996,-0.21751282584650003
2024-12-26,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1835.0,1835.0,1839.000061,100.0,-4.00006099999996,-0.21751282584650003
2024-12-27,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1865.5999755859375,1865.5999755859375,1839.000061,100.0,26.59991458593754,1.446433589103483
2024-12-28,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1865.5999755859375,1865.5999755859375,1839.000061,100.0,26.59991458593754,1.446433589103483
2024-12-29,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1865.5999755859375,1865.5999755859375,1839.000061,100.0,26.59991458593754,1.446433589103483
2024-12-30,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1862.7999877929688,1862.7999877929688,1839.000061,100.0,23.79992679296879,1.294177596711281
2024-12-31,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1874.7999572753906,1874.7999572753906,1839.000061,100.0,35.799896275390665,1.9467044637249016
2025-01-01,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1874.7999572753906,1874.7999572753906,1839.000061,100.0,35.799896275390665,1.9467044637249016
2025-01-02,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1886.3999938964844,1886.3999938964844,1839.000061,100.0,47.399932896484415,2.577484030680759
2025-01-03,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1857.4000549316406,1857.4000549316406,1839.000061,100.0,18.399993931640665,1.0005434106204016
2025-01-04,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1857.4000549316406,1857.4000549316406,1839.000061,100.0,18.399993931640665,1.0005434106204016
2025-01-05,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1857.4000549316406,6420.144958496094,6403.744965,28.93081179535755,18.399993931640665,1.0005434106204016
2025-01-06,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1893.2000732421875,6609.8443603515625,6403.744965,28.642127863075622,54.20001224218754,2.947254510297025
2025-01-07,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1916.9999694824219,6644.881210327148,6403.744965,28.84927373123111,77.99990848242192,4.241430445630742
2025-01-08,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1913.3999633789062,6641.281204223633,6403.744965,28.810705412715365,74.39990237890629,4.045671555793727
2025-01-09,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1926.0000610351562,6728.632583618164,6403.744965,28.623944569722585,87.00000003515629,4.730831818887922
2025-01-10,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1912.2000122070312,6663.532485961914,6403.744965,28.696491181448717,73.19995120703129,3.9804213582911507
2025-01-11,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1912.2000122070312,6663.532485961914,6403.744965,28.696491181448717,73.19995120703129,3.9804213582911507
2025-01-12,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1912.2000122070312,6663.532485961914,6403.744965,28.696491181448717,73.19995120703129,3.9804213582911507
2025-01-13,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1899.4000244140625,6618.486862182617,6403.744965,28.698402882191203,60.39996341406254,3.2843915938327175
2025-01-14,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1864.7999572753906,6602.941207885742,6403.744965,28.241959129490695,25.799896275390665,1.4029306916586701
2025-01-15,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1916.3999938964844,8556.515350341797,8269.14502,22.39696787103797,77.39993289648442,4.208805346879454
2025-01-16,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1957.5999450683594,8591.355209350586,8269.14502,22.78569442615716,118.59988406835942,6.4491506326469565
2025-01-17,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1963.800048828125,8737.453422546387,8269.14502,22.47565685169407,124.79998782812504,6.786296013511935
2025-01-18,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1963.800048828125,8737.453422546387,8269.14502,22.47565685169407,124.79998782812504,6.786296013511935
2025-01-19,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1963.800048828125,8737.453422546387,8269.14502,22.47565685169407,124.79998782812504,6.786296013511935
2025-01-20,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1976.9999694824219,20467.08179473877,19944.06641,9.659413048276505,137.99990848242192,7.5040730780281315
2025-01-21,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1980.3999328613281,20639.252700805664,19944.06641,9.595308326178023,141.39987186132817,7.6889541691716214
2025-01-22,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1976.9999694824219,20654.560050964355,19944.06641,9.571736045717016,137.99990848242192,7.5040730780281315
2025-01-23,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1997.7999877929688,20948.618354797363,19944.06641,9.536667067761345,158.7999267929688,8.635123519605408
